DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230514082,09/28/2023 12:00:00 AM,08/18/2023 12:00:00 AM,1800,5,Harbor,514,1,310,BURGLARY,0344 0358 1202 1601,63,F,B,221.0,PUBLIC STORAGE,,,IC,Invest Cont,310.0,,,,1200 W  PACIFIC COAST                HY,,33.7904,-118.2777
221311915,05/27/2022 12:00:00 AM,05/27/2022 12:00:00 AM,145,13,Newton,1373,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 1419 1822 1402 1309 0334 0430 0906,36,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,998.0,,,56TH                         ST,CENTRAL                      ST,33.9916,-118.2564
231017635,12/27/2023 12:00:00 AM,12/26/2023 12:00:00 AM,800,10,West Valley,1067,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0448 1822 0329,26,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,17400    VENTURA                      BL,,34.166,-118.5095
200211304,06/13/2020 12:00:00 AM,06/13/2020 12:00:00 AM,2300,2,Rampart,295,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0416 0446 0319 2002 2033 0913,33,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,1300    CONSTANCE                    ST,,34.0451,-118.2779
241206655,02/14/2024 12:00:00 AM,02/14/2024 12:00:00 AM,1600,12,77th Street,1208,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1309,53,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,600 W  VERNON                       AV,,34.0038,-118.2842
231110016,06/11/2023 12:00:00 AM,02/24/2023 12:00:00 AM,930,11,Northeast,1115,2,354,THEFT OF IDENTITY,0930 1822,37,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,4800    ALGOMA                       AV,,34.1333,-118.2055
230313564,07/12/2023 12:00:00 AM,07/12/2023 12:00:00 AM,2040,3,Southwest,396,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0910 0431 1822,41,M,H,801.0,MTA BUS,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,BUDLONG,VERMONT,34.0073,-118.2894
230122269,10/19/2023 12:00:00 AM,10/19/2023 12:00:00 AM,2000,1,Central,134,1,330,BURGLARY FROM VEHICLE,0344 1307,62,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,300 S  BROADWAY,,34.051,-118.248
201305956,02/04/2020 12:00:00 AM,02/03/2020 12:00:00 AM,2135,13,Newton,1361,1,310,BURGLARY,1607 0329 0344 0397 0358,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,4400 S  BROADWAY,,34.0038,-118.2783
231310589,05/12/2023 12:00:00 AM,05/11/2023 12:00:00 AM,1400,13,Newton,1353,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,VERNON                       AV,MCKINLEY                     AV,34.0039,-118.2609
221017472,12/07/2022 12:00:00 AM,11/07/2022 12:00:00 AM,1000,10,West Valley,1037,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0913 1811,12,M,H,720.0,JUNIOR HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,17100    VANOWEN                      ST,,34.1939,-118.5055
231321894,12/10/2023 12:00:00 AM,08/18/2023 12:00:00 AM,947,13,Newton,1373,2,354,THEFT OF IDENTITY,0927,17,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,900 E  54TH                         ST,,33.9934,-118.2594
241104576,01/16/2024 12:00:00 AM,01/14/2024 12:00:00 AM,1035,11,Northeast,1173,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1309,0,X,X,102.0,SIDEWALK,,,AA,Adult Arrest,440.0,,,,2200    ALLESANDRO                   ST,,34.0938,-118.2551
222006977,03/11/2022 12:00:00 AM,03/11/2022 12:00:00 AM,2330,20,Olympic,2097,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 0416 0419 0421 0446 0913 1310 1305 1243 2000,26,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1900 S  MARIPOSA                     AV,,34.04,-118.2984
230712926,08/05/2023 12:00:00 AM,08/05/2023 12:00:00 AM,1415,7,Wilshire,724,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1822 0104,0,X,X,415.0,THE GROVE,,,IC,Invest Cont,442.0,,,,100    THE GROVE                    DR,,34.0736,-118.3563
231404669,01/08/2023 12:00:00 AM,12/16/2022 12:00:00 AM,505,14,Pacific,1466,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,76,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331.0,,,,7200    MCCOOL                       AV,,33.9784,-118.4005
241604991,02/02/2024 12:00:00 AM,02/01/2024 12:00:00 AM,1445,16,Foothill,1643,2,900,VIOLATION OF COURT ORDER,2038,62,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,12800    KAGEL CANYON                 ST,,34.2604,-118.419
200120459,11/02/2020 12:00:00 AM,11/01/2020 12:00:00 AM,2000,1,Central,176,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1307 1414,36,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,8TH,LOS ANGELES,34.0419,-118.2523
241906812,03/15/2024 12:00:00 AM,03/15/2024 12:00:00 AM,2150,19,Mission,1981,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416 0417 1218,33,F,W,505.0,MOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,8500 N  SEPULVEDA                    BL,,34.2267,-118.4704
221410699,05/11/2022 12:00:00 AM,05/10/2022 12:00:00 AM,2220,14,Pacific,1453,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 0913,42,M,H,101.0,STREET,,,AA,Adult Arrest,420.0,,,,4200    LYCEUM                       AV,,33.9917,-118.4355
221806970,03/06/2022 12:00:00 AM,03/06/2022 12:00:00 AM,15,18,Southeast,1841,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1813 1241 1821 0429 0444 1202 1243,31,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,109TH                        ST,DENKER,33.9367,-118.2871
220706571,02/24/2022 12:00:00 AM,02/21/2022 12:00:00 AM,1735,7,Wilshire,724,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0344,24,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,343.0,,,,100    THE GROVE                    DR,,34.0736,-118.3563
231311635,06/01/2023 12:00:00 AM,05/31/2023 12:00:00 AM,1642,13,Newton,1347,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1602 0344,0,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,341.0,,,,1600 E  41ST                         ST,,34.0084,-118.2455
200618005,11/14/2020 12:00:00 AM,11/13/2020 12:00:00 AM,530,6,Hollywood,635,2,888,TRESPASSING,1822 1501,29,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888.0,,,,6600    EMMETT                       TR,,34.106,-118.3364
210412261,08/28/2021 12:00:00 AM,08/28/2021 12:00:00 AM,1300,4,Hollenbeck,455,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,2200    SHERIDAN                     ST,,34.0508,-118.2078
211221765,10/16/2021 12:00:00 AM,10/16/2021 12:00:00 AM,420,12,77th Street,1208,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325 0344,20,F,H,301.0,GAS STATION,,,IC,Invest Cont,442.0,,,,4400 S  FIGUEROA                     ST,,33.9997,-118.2849
230818632,12/31/2023 12:00:00 AM,12/30/2023 12:00:00 AM,1500,8,West LA,805,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,800    MORAGA                       DR,,34.0776,-118.4693
231404970,01/25/2023 12:00:00 AM,01/24/2023 12:00:00 AM,2000,14,Pacific,1435,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,91,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,3500    PURDUE                       AV,,34.0158,-118.4258
210209756,05/17/2021 12:00:00 AM,05/17/2021 12:00:00 AM,2200,2,Rampart,246,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0356 0400 2000 2002 1206 1813 0913,54,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626.0,,,,300 S  WESTLAKE                     AV,,34.0608,-118.2726
221016626,11/18/2022 12:00:00 AM,11/18/2022 12:00:00 AM,1,10,West Valley,1023,1,310,BURGLARY,1822 1609 0344 1420 1414,0,M,W,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,6700    TAMPA                        AV,,34.1923,-118.5534
241704985,01/24/2024 12:00:00 AM,01/24/2024 12:00:00 AM,800,17,Devonshire,1764,1,330,BURGLARY FROM VEHICLE,1612 0377 0344,20,F,H,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,330.0,,,,19300    NORDHOFF                     ST,,34.2355,-118.5536
210104646,01/16/2021 12:00:00 AM,01/16/2021 12:00:00 AM,750,1,Central,151,1,510,VEHICLE - STOLEN,1822 1414 0917 0344 1300 1402,55,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,510.0,998.0,,,900    WILSHIRE                     BL,,34.0501,-118.2593
232016963,10/22/2023 12:00:00 AM,10/22/2023 12:00:00 AM,1200,20,Olympic,2016,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 0553 0416 1258 1251 1261,9,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,627.0,,,,200 S  MARIPOSA                     AV,,34.0712,-118.2991
211310239,05/26/2021 12:00:00 AM,05/22/2021 12:00:00 AM,1300,13,Newton,1361,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AO,Adult Other,510.0,,,,5000 S  BROADWAY,,33.997,-118.2783
210110748,05/24/2021 12:00:00 AM,05/24/2021 12:00:00 AM,630,1,Central,152,1,220,ATTEMPTED ROBBERY,0334 0337 1822 2004,0,M,W,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",204.0,FOLDING KNIFE,IC,Invest Cont,220.0,,,,500 W  6TH                          ST,,34.048,-118.2542
230407459,04/17/2023 12:00:00 AM,04/15/2023 12:00:00 AM,1800,4,Hollenbeck,457,1,761,BRANDISH WEAPON,0344 0334 0421 1202 0913,61,M,H,504.0,OTHER RESIDENCE,207.0,OTHER KNIFE,IC,Invest Cont,761.0,930.0,,,2700    FOLSOM                       ST,,34.0468,-118.2031
240207463,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2130,2,Rampart,239,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1307 1822,26,M,J,101.0,STREET,,,IC,Invest Cont,740.0,,,,100 N  BEAUDRY                      AV,,34.0591,-118.2542
211214696,06/28/2021 12:00:00 AM,06/26/2021 12:00:00 AM,2330,12,77th Street,1258,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,100 W  78TH                         ST,,33.9689,-118.2739
220217709,09/29/2022 12:00:00 AM,09/29/2022 12:00:00 AM,1930,2,Rampart,299,2,624,BATTERY - SIMPLE ASSAULT,1822 0416,27,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1500 W  PICO                         BL,,34.0439,-118.2752
201314746,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1700,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900 E  32ND                         ST,,34.015,-118.2599
220205217,01/30/2022 12:00:00 AM,01/27/2022 12:00:00 AM,2100,2,Rampart,269,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,700    COLUMBIA                     AV,,34.0527,-118.2686
221112001,07/26/2022 12:00:00 AM,07/25/2022 12:00:00 AM,2245,11,Northeast,1101,2,624,BATTERY - SIMPLE ASSAULT,0400 1501,30,F,W,716.0,THEATRE/MOVIE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2700 N  VERMONT                      AV,,34.1177,-118.2928
230313231,07/09/2023 12:00:00 AM,07/09/2023 12:00:00 AM,530,3,Southwest,317,1,510,VEHICLE - STOLEN,1822 1309 2024,22,F,X,101.0,STREET,,,IC,Invest Cont,510.0,,,,24TH,BUDLONG,34.0346,-118.2964
240506824,03/14/2024 12:00:00 AM,03/14/2024 12:00:00 AM,1020,5,Harbor,508,1,310,BURGLARY,1822 0342 0344 0321 1202,83,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1500    MAIDSTONE CIR,,33.8105,-118.3044
241005940,02/25/2024 12:00:00 AM,02/25/2024 12:00:00 AM,700,10,West Valley,1075,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0913 0555 0602 0411,39,M,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230.0,998.0,,,18000    SANTA RITA                   ST,,34.1636,-118.5249
230205728,02/07/2023 12:00:00 AM,02/07/2023 12:00:00 AM,2215,2,Rampart,205,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0104 1822,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,343.0,,,,600 N  DILLON                       ST,,34.0786,-118.2788
242107539,04/01/2024 12:00:00 AM,03/23/2024 12:00:00 AM,2300,21,Topanga,2144,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0329 0385,55,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,22700    HAMLIN                       ST,,34.189,-118.6219
200117585,09/07/2020 12:00:00 AM,09/07/2020 12:00:00 AM,1940,1,Central,111,2,860,BATTERY WITH SEXUAL CONTACT,0522 1822 0551 1414,22,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,860.0,,,,500 N  SPRING                       ST,,34.0571,-118.2405
221704301,01/11/2022 12:00:00 AM,01/10/2022 12:00:00 AM,900,17,Devonshire,1764,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,9300    TAMPA                        AV,,34.244,-118.5583
220717312,12/04/2022 12:00:00 AM,12/04/2022 12:00:00 AM,116,7,Wilshire,788,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1310 0342 1309 1258 0553,9,F,H,108.0,PARKING LOT,,,AO,Adult Other,237.0,,,,4000 W  WASHINGTON                   BL,,34.0399,-118.3272
220416042,12/06/2022 12:00:00 AM,12/04/2022 12:00:00 AM,1215,4,Hollenbeck,421,2,354,THEFT OF IDENTITY,0100,34,M,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,354.0,,,,2100    VALLEJO                      ST,,34.0708,-118.2175
221401082,08/27/2022 12:00:00 AM,08/27/2022 12:00:00 AM,1600,14,Pacific,1489,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0443,20,F,H,210.0,RESTAURANT/FAST FOOD,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,998.0,,,5200 W  CENTURY                      BL,,33.949,-118.3744
231515562,09/30/2023 12:00:00 AM,09/30/2023 12:00:00 AM,810,15,N Hollywood,1529,2,625,OTHER ASSAULT,,65,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,625.0,,,,10400    EDISON                       WY,,34.18,-118.3589
202017672,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,300,20,Olympic,2026,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740.0,,,,400 S  VERMONT                      AV,,34.0672,-118.2941
200910949,06/12/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1100,9,Van Nuys,915,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,58,M,H,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,14400    VANOWEN                      ST,,34.1976,-118.4443
231013540,09/10/2023 12:00:00 AM,09/10/2023 12:00:00 AM,1550,10,West Valley,1044,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 0400 0446 0906 1816 2033,21,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230.0,761.0,,,18400    HATTERAS                     ST,,34.1775,-118.5337
211312314,07/06/2021 12:00:00 AM,07/02/2021 12:00:00 AM,1600,13,Newton,1362,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,59,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,400 E  49TH                         ST,,33.9988,-118.2696
221209834,04/12/2022 12:00:00 AM,04/12/2022 12:00:00 AM,545,12,77th Street,1241,1,330,BURGLARY FROM VEHICLE,1822 0344 1607,36,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,3500    HYDE PARK                    BL,,33.9806,-118.3338
221504395,01/11/2022 12:00:00 AM,01/11/2022 12:00:00 AM,430,15,N Hollywood,1515,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1609,0,M,O,401.0,MINI-MART,,,IC,Invest Cont,745.0,,,,6600    LANKERSHIM                   BL,,34.1962,-118.3911
232117634,12/13/2023 12:00:00 AM,12/13/2023 12:00:00 AM,935,21,Topanga,2115,2,437,RESISTING ARREST,1212 0400,0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,437.0,,,,21700    LANARK                       ST,,34.2176,-118.6016
201808059,03/11/2020 12:00:00 AM,03/11/2020 12:00:00 AM,600,18,Southeast,1861,2,624,BATTERY - SIMPLE ASSAULT,0910 1822 0416 0429,47,M,H,124.0,BUS STOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,VERMONT                      AV,ANDERSON                     FY,33.9289,-118.2916
231415021,07/29/2023 12:00:00 AM,07/29/2023 12:00:00 AM,950,14,Pacific,1406,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300 0385,26,M,O,102.0,SIDEWALK,,,IC,Invest Cont,331.0,,,,ROSE,KEYSTONE,34.0281,-118.4129
211212683,05/23/2021 12:00:00 AM,05/22/2021 12:00:00 AM,1915,12,77th Street,1241,1,310,BURGLARY,0344,44,M,B,505.0,MOTEL,,,IC,Invest Cont,310.0,,,,6300    CRENSHAW                     BL,,33.9825,-118.3309
221811481,05/27/2022 12:00:00 AM,03/23/2022 12:00:00 AM,1,18,Southeast,1862,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0913 1501,0,X,X,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,845.0,,,,100 E  119TH                        ST,,33.9247,-118.2739
210815670,10/21/2021 12:00:00 AM,10/20/2021 12:00:00 AM,2140,8,West LA,859,1,330,BURGLARY FROM VEHICLE,1822 0344,36,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,1500 S  SHENANDOAH                   ST,,34.0502,-118.3822
220313534,07/10/2022 12:00:00 AM,07/10/2022 12:00:00 AM,2100,3,Southwest,397,1,210,ROBBERY,0342 0344 0416 1202 1822,66,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,MARTIN LUTHER KING JR        BL,VERMONT                      AV,34.0109,-118.2915
220610108,05/01/2022 12:00:00 AM,04/30/2022 12:00:00 AM,1630,6,Hollywood,645,1,330,BURGLARY FROM VEHICLE,1300 1822 0344 0329 1609,46,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1600 N  ORANGE                       DR,,34.0992,-118.3414
240308736,04/02/2024 12:00:00 AM,04/02/2024 12:00:00 AM,1833,3,Southwest,338,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 1822,23,X,X,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,S  VERMONT                      AV,36TH                         ST,34.0268,-118.2896
201204126,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1050,12,77th Street,1266,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0334 0421 0449 0340,50,M,B,119.0,"PORCH, RESIDENTIAL",101.0,REVOLVER,IC,Invest Cont,230.0,,,,900 W  82ND                         ST,,33.9661,-118.2849
232007201,03/20/2023 12:00:00 AM,03/17/2023 12:00:00 AM,1900,20,Olympic,2076,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,VENICE,BERENDO,34.0443,-118.2935
210106264,02/18/2021 12:00:00 AM,02/18/2021 12:00:00 AM,1700,1,Central,195,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1019 1822 0910 2004,55,M,H,124.0,BUS STOP,207.0,OTHER KNIFE,IC,Invest Cont,230.0,,,,BROADWAY,WASHINGTON,34.0316,-118.2656
231806500,02/18/2023 12:00:00 AM,02/17/2023 12:00:00 AM,1900,18,Southeast,1821,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,700 W  102ND                        ST,,33.9438,-118.287
201116159,11/29/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2018,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1814 2000,34,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,3200 W  AVENUE 32,,34.1186,-118.245
230210043,04/29/2023 12:00:00 AM,04/29/2023 12:00:00 AM,1851,2,Rampart,266,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104 1822,0,X,X,405.0,CLOTHING STORE,,,IC,Invest Cont,442.0,,,,1600 W  7TH                          ST,,34.0539,-118.2712
211106782,03/22/2021 12:00:00 AM,03/22/2021 12:00:00 AM,2030,11,Northeast,1127,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0903 2055 1514,0,X,X,102.0,SIDEWALK,,,IC,Invest Cont,745.0,946.0,,,5900    YORK                         BL,,34.12,-118.1893
210208881,05/01/2021 12:00:00 AM,05/01/2021 12:00:00 AM,1700,2,Rampart,246,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0329 0400 0444 0416 0913,30,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,300 S  WESTLAKE                     AV,,34.0608,-118.2726
201216465,07/14/2020 12:00:00 AM,07/09/2020 12:00:00 AM,1520,12,77th Street,1249,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,1402 0943 1259,15,F,B,101.0,STREET,,,IC,Invest Cont,822.0,998.0,,,FIGUEROA                     ST,70TH,33.9765,-118.2827
231212313,05/16/2023 12:00:00 AM,05/16/2023 12:00:00 AM,800,12,77th Street,1204,1,310,BURGLARY,0344 1607,68,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1000 W  48TH                         ST,,34.0017,-118.2979
200318557,10/08/2020 12:00:00 AM,10/08/2020 12:00:00 AM,930,3,Southwest,319,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0444 0429,26,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1900    PARK GROVE                   AV,,34.0358,-118.2766
241406830,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1700,14,Pacific,1483,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,8100    REDLANDS                     ST,,33.9571,-118.4361
221506754,03/07/2022 12:00:00 AM,03/07/2022 12:00:00 AM,615,15,N Hollywood,1548,2,354,THEFT OF IDENTITY,0377,33,F,W,710.0,OTHER PREMISE,,,IC,Invest Cont,354.0,,,,5200    BLAKESLEE                    AV,,34.1649,-118.3725
221911278,06/27/2022 12:00:00 AM,06/27/2022 12:00:00 AM,1820,19,Mission,1961,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 1218 1206 0411 0305 1822,54,M,W,101.0,STREET,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,230.0,,,,9100 N  SEPULVEDA                    BL,,34.2446,-118.4676
211212850,05/26/2021 12:00:00 AM,05/26/2021 12:00:00 AM,2045,12,77th Street,1253,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344,0,X,X,402.0,MARKET,,,IC,Invest Cont,442.0,,,,7300 S  WESTERN                      AV,,33.9727,-118.309
210813349,08/27/2021 12:00:00 AM,08/26/2021 12:00:00 AM,725,8,West LA,849,1,761,BRANDISH WEAPON,0334 1822 1202,72,M,W,103.0,ALLEY,216.0,SCISSORS,IC,Invest Cont,761.0,,,,ROBERTSON                    BL,PICO                         BL,34.0553,-118.3837
